日付,曜日,時限,
2023/04/07,金,1,
2023/04/08,土,99,
2023/04/09,日,0,
2023/04/10,月,1,
2023/04/11,火,1,
2023/04/12,水,1,
2023/04/13,木,1,
2023/04/14,金,2,
2023/04/15,土,99,
2023/04/16,日,0,
2023/04/17,月,2,
2023/04/18,火,2,
2023/04/19,水,2,
2023/04/20,木,2,
2023/04/21,金,3,
2023/04/22,土,99,
2023/04/23,日,0,
2023/04/24,月,3,
2023/04/25,火,3,
2023/04/26,水,3,
2023/04/27,木,3,
2023/04/28,金,4,
2023/04/29,土,0,
2023/04/30,日,0,
2023/05/01,月,4,
2023/05/02,火,4,
2023/05/03,水,0,
2023/05/04,木,0,
2023/05/05,金,0,
2023/05/06,土,0,
2023/05/07,日,0,
2023/05/08,月,5,
2023/05/09,火,5,
2023/05/10,水,4,
2023/05/11,木,4,
2023/05/12,金,5,
2023/05/13,土,99,
2023/05/14,日,0,
2023/05/15,月,6,
2023/05/16,火,6,
2023/05/17,水,5,
2023/05/18,木,5,
2023/05/19,金,6,
2023/05/20,土,99,
2023/05/21,日,0,
2023/05/22,月,7,
2023/05/23,火,7,
2023/05/24,水,6,
2023/05/25,木,6,
2023/05/26,金,7,
2023/05/27,土,100,早慶戦
2023/05/28,日,0,
2023/05/29,月,8,
2023/05/30,火,8,
2023/05/31,水,7,
2023/06/01,木,7,
2023/06/02,金,99,
2023/06/03,土,99,
2023/06/04,日,0,
2023/06/05,月,9,
2023/06/06,火,9,
2023/06/07,水,8,
2023/06/08,木,8,
2023/06/09,金,8,
2023/06/10,土,99,
2023/06/11,日,0,
2023/06/12,月,10,
2023/06/13,火,10,
2023/06/14,水,9,
2023/06/15,木,9,
2023/06/16,金,9,
2023/06/17,土,99,
2023/06/18,日,0,
2023/06/19,月,11,
2023/06/20,火,11,
2023/06/21,水,10,
2023/06/22,木,10,
2023/06/23,金,10,
2023/06/24,土,99,
2023/06/25,日,0,
2023/06/26,月,12,
2023/06/27,火,12,
2023/06/28,水,11,
2023/06/29,木,11,
2023/06/30,金,11,
2023/07/01,土,100,七夕祭
2023/07/02,日,100,七夕祭
2023/07/03,月,13,
2023/07/04,火,13,
2023/07/05,水,12,
2023/07/06,木,12,
2023/07/07,金,12,
2023/07/08,土,99,
2023/07/09,日,0,
2023/07/10,月,14,
2023/07/11,火,14,
2023/07/12,水,13,
2023/07/13,木,13,
2023/07/14,金,13,
2023/07/15,土,99,
2023/07/16,日,0,
2023/07/17,月,0,
2023/07/18,火,99,
2023/07/19,水,14,
2023/07/20,木,14,
2023/07/21,金,14,
